MIGRATION REPORT
Date: 2026-04-08T07:04:53.496989

Sheet                              Read   Insert      Dup    Blank    Err
--------------------------------------------------------------------------------
Master submission sheet           14101    12531     1565        2      3
Interview Tracker Updated          2335     2332       93        2      1
Onboarded Candidates                 61       59        0        1      1
HCL - Non IT                         54       54        0        0      0
GeBIZ                               383      668        4      216      0
SG Submission                       103       80       22        1      0
Tech Mahindra                       129      124        5        0      0
Keva                                 20       19        0        1      0
F2F GCP                              16       14        2        0      0
Flipkart                             35       31        4        0      0
Requirements                        646      646        0        0      0
Contacts                           1006       96        0      910      0
